name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Boise, Idaho",2021-01-01,43,30.8,36.9,36.1,24.6,31.1,28.6,73.3,0,0,0,,0,0,31.7,15.9,126.4,1023.8,66,8.4,68.6,5.9,4,,2021-01-01T08:18:19,2021-01-01T17:19:05,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,TT289,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-02,46.1,33.2,38.7,42,26.7,32.8,30.2,72.2,0.02,100,4.17,"rain,snow",0,0,27.7,13.8,134.2,1020.8,81.7,9.5,46.2,4.1,3,,2021-01-02T08:18:20,2021-01-02T17:20:00,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KBOI,KEUL,72681524106,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-03,50,38,41.1,50,30.5,35.6,35.5,80.9,0.31,100,41.67,rain,0,0,,12.6,120.3,1019,67.8,9.7,45.8,3.9,2,,2021-01-03T08:18:19,2021-01-03T17:20:57,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-04,47.7,38.1,42.4,42.8,32.5,35.4,34,73.1,0.26,100,33.33,rain,0,0,35.6,23.8,129.6,1014.4,79.5,9.2,10.5,0.7,0,,2021-01-04T08:18:16,2021-01-04T17:21:55,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-05,44.1,32,37.7,44.1,26.5,33.9,29.4,73.9,0,0,0,,0,0,,11.4,154.1,1025,24.2,9.9,86.8,7.6,4,,2021-01-05T08:18:10,2021-01-05T17:22:55,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-06,44.9,29.9,37.6,41.6,22.8,31,24.9,60.7,0,0,0,,0,0,36.9,16,134.6,1023.5,30.4,9.9,58,5.1,2,,2021-01-06T08:18:01,2021-01-06T17:23:57,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-07,43.1,33.2,37.1,41,26.3,33.6,34,88.9,0.19,100,25,"rain,snow",0,0,18.3,11.4,140.8,1026.2,88.3,7.4,38.5,3.4,2,,2021-01-07T08:17:50,2021-01-07T17:25:00,0.82,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"KBOI,KEUL,72681524106,TS587,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-08,39.8,29.9,33.7,37.5,20.1,26.9,30.4,88.3,0.03,100,12.5,"rain,snow",0,0,23,15.1,206.9,1025,58.5,6.2,36.8,3.3,2,,2021-01-08T08:17:37,2021-01-08T17:26:05,0.87,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-09,39.9,29.9,33.2,38.1,23.2,29,30.1,88.9,0.01,100,4.17,"rain,snow",0,0,,8,273,1030.1,58.2,5.3,74.8,6.5,4,,2021-01-09T08:17:21,2021-01-09T17:27:11,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KBOI,KEUL,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-10,38.9,28.1,33.2,33.5,20.1,25.9,24.1,69.6,0,0,0,,0,0,,12.7,135.4,1030.5,32.8,9.9,56.2,4.7,3,,2021-01-10T08:17:03,2021-01-10T17:28:18,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBOI,KEUL,BOII,TS587,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-11,39.8,25.1,31.1,35,14.5,24.6,21.6,68.2,0,0,0,,0,0,28.9,14.9,121.3,1030.5,0,9.9,98.3,8.6,4,,2021-01-11T08:16:42,2021-01-11T17:29:27,0.99,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,BOII,72681524106,TS587,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-12,43,30,36.7,35.7,23.3,30,30.2,77.3,0.07,100,16.67,"rain,snow",0,0,38,18,123.9,1024.7,76.8,9.8,15.9,1.3,1,,2021-01-12T08:16:19,2021-01-12T17:30:36,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-13,48.9,30.9,43.4,43.2,28.9,37.8,33.6,69.4,0.15,100,20.83,rain,0,0,32.2,21.8,240.3,1025.3,44,9.7,74.9,6.6,4,,2021-01-13T08:15:53,2021-01-13T17:31:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KBOI,KEUL,72681524106,BOII,TS587,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-14,47,28.2,35.1,44.9,23,31.7,22.6,62.6,0,0,0,,0,0,,7.8,198.4,1035.7,23,9.9,98.4,8.5,4,,2021-01-14T08:15:26,2021-01-14T17:32:59,0.01,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-15,38,28,32.2,38,20.1,28.5,23.9,72,0,0,0,,0,0,,12.5,216.3,1032.7,37,9.7,50.3,4.4,3,,2021-01-15T08:14:55,2021-01-15T17:34:12,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-16,42.1,25.1,31.8,42.1,22.9,30,29.2,90.6,0,0,0,,0,0,,6.9,148.7,1031.9,52.6,6.5,79.5,6.9,4,,2021-01-16T08:14:23,2021-01-16T17:35:26,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-17,42.1,28.9,34.2,36.7,23,31.1,30.9,88,0,0,0,,0,0,,11.4,201.2,1029,45.8,8,79.2,6.7,4,,2021-01-17T08:13:48,2021-01-17T17:36:41,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO"
"Boise, Idaho",2021-01-18,45,26.1,33.7,38.5,23,29.6,26.9,78.7,0,0,0,,0,0,27.7,16.1,284,1028.5,32.4,5.1,97.3,8.4,5,,2021-01-18T08:13:11,2021-01-18T17:37:57,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBOI,KEUL,72681524106,BOII,TS587,72681394195,72681024131,KMUO"
